Repo,NodeName,dataType (bits),depth,folded_shape (dimensions flattened),normal_shape (dimensions flattened),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_21,8,2,1,1,7,7,0,0,10,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,869,4096,4096,299,75,0,224,29,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,4624,4624,4624,30,30,0,0,69,2,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,2,9216,9216,11,11,0,0,19,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,870,9216,9216,43,43,0,0,57,2,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,4,147,4096,4096,60,40,0,20,17,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,4,769,5184,5184,43,43,0,0,57,0,1,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,4,2,9216,9216,7,7,0,0,11,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,4,682,9216,9216,43,43,0,0,57,0,1,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,4,2,512,512,8,8,0,0,12,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,4,129,800,800,53,37,0,16,17,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,4,2,1152,1152,7,7,0,0,11,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_11,4,178,1152,1152,98,50,0,48,21,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_12,4,2,256,256,8,8,0,0,12,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_13,4,110,576,576,50,34,0,16,16,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_14,4,286,576,576,47,47,0,0,53,0,1,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_15,4,2,32,32,8,8,0,0,12,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_16,11,2,6,6,15,15,0,0,26,0,0,0
