isRTL,ActVal,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),ImgDim (dimensions flattened),K,Labels,MH,MW,NumChannels,Output Feature Map Dim (dimensions flattened),Padding (dimensions flattened),Stride (dimensions flattened),accDataType (bits),binaryXnorMode,inWidth,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),isOp_typeConvolutioninputgeneratorrtl,isOp_typeFmpaddingrtl,isOp_typeLabelselecthls,isOp_typeMvauhls,isOp_typeMvaurtl,isOp_typeThresholdingrtl,outputDataType (bits),parallel_window,weightDataType (bits),PE,SIMD,isRam_styleAuto,isRam_styleBlock,isRam_styleDistributed,isResTypeDsp,isResTypeLut,depth,isImpl_styleRtl,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,4.0,0,0,1,1,0,,0,2511,1104,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,7.0,0,0,1,1,0,,0,1674,1115,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,8.0,0,0,1,1,0,,0,1544,1117,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,14.0,0,0,1,1,0,,0,1609,1144,0.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,2.0,0,0,1,1,0,,0,610,293,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,16.0,0,0,1,1,0,,0,1457,1170,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,28.0,0,0,1,1,0,,0,1647,1312,0.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,4.0,0,0,1,1,0,,0,421,298,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,49.0,0,0,1,1,0,,0,1594,1484,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,56.0,0,0,1,1,0,,0,1674,1523,0.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,8.0,0,0,1,1,0,,0,346,314,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,98.0,0,0,1,1,0,,0,1720,1818,0.0,0
0,0.0,,,,,,,,10.0,64.0,,,,,7.0,1.0,,,1.0,1.0,0,0,0,1,0,0,7.0,,,1.0,2.0,0,0,1,1,0,,0,354,271,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,112.0,0,0,1,1,0,,0,1757,1906,0.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,16.0,0,0,1,1,0,,0,381,400,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,196.0,0,0,1,1,0,,0,2117,2562,0.0,0
0,0.0,,,,,,,,10.0,64.0,,,,,7.0,1.0,,,1.0,1.0,0,0,0,1,0,0,7.0,,,1.0,4.0,0,0,1,1,0,,0,302,280,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,392.0,0,0,1,1,0,,0,2518,4103,0.0,0
